utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,23,0.0,81935,326398355767231,7,37.5,666.3093872070312,0.04309999942779541,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,34.0,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,27,0.0,81935,326398367187681,14,30.3,429.4167175292969,0.4270000159740448,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,26.8,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,32,0.0,81935,326398360674372,12,32.8,-415.1565246582031,0.023900000378489494,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,29.299999999999997,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,12,0.0,16399,326384357295755,11,33.2,-466.96966552734375,0.04840000346302986,16,0.0,0.0,1.56109798E9,,,,0,,5,0.33,27.200000000000003,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,16,0.0,16399,326384303564316,6,38.1,-251.19984436035156,0.02460000105202198,16,0.0,0.0,1.56109798E9,,,,0,,5,0.33,32.1,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,19,0.0,16399,326384363073082,6,38.5,136.87814331054688,0.02460000105202198,16,0.0,0.0,1.56109798E9,,,,0,,5,0.33,32.5,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,22,0.0,16399,326384360235295,16,29.8,-467.46630859375,0.02670000120997429,16,0.0,0.0,1.56109798E9,,,,0,,5,0.33,23.8,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,2,0.0,89103,326398349325620,8,36.9,-149.5557098388672,0.04670000448822975,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.06,30.9,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,4,0.0,89103,326398350207652,24,25.1,-488.50592041015625,0.40880000591278076,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.06,19.1,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,11,0.0,89103,326398362997839,16,29.0,-117.06815338134766,0.053700003772974014,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.06,23.0,,,,,,
